City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,papatowai,-46.5619,169.4708,8.74,77,52,5.17,NZ,1720412984
129,coahuayana de hidalgo,18.7,-103.6583,25.58,93,45,0.49,MX,1720412985
130,sechura,-5.5569,-80.8222,19.12,82,86,6.69,PE,1720412986
131,mugia,43.1041,-9.2179,16.76,88,100,8.76,ES,1720412987
132,piti village,13.4626,144.6933,31.05,75,99,4.39,GU,1720412989
133,pangody,65.85,74.4859,19.94,49,0,6.24,RU,1720412990
134,sabang,5.8933,95.3214,28.09,78,100,5.59,ID,1720412991
135,ar ruways,24.1103,52.7306,33.0,60,73,1.74,AE,1720412994
136,nova sintra,14.8667,-24.7167,25.1,85,98,2.88,CV,1720412995
137,thompson,55.7435,-97.8558,15.09,77,75,0.0,CA,1720412996
138,uturoa,-16.7333,-151.4333,26.18,79,6,6.75,PF,1720412997
139,hamilton,39.1834,-84.5333,23.06,80,0,2.06,US,1720412999
140,revda,56.801,59.9303,22.54,52,15,2.35,RU,1720413000
141,kapa'a,22.0752,-159.319,27.18,74,40,5.14,US,1720413001
142,kachug,53.9606,105.8817,30.73,41,98,1.57,RU,1720413003
143,richards bay,-28.783,32.0377,16.97,50,0,4.16,ZA,1720413004
144,itoman,26.1247,127.6694,33.43,69,40,6.17,JP,1720413005
145,lufkin,31.3382,-94.7291,24.95,95,0,4.63,US,1720413006
146,san mariano,7.5,126.0,24.01,93,100,1.4,PH,1720413008
147,mount gambier,-37.8333,140.7667,12.51,79,100,4.09,AU,1720413009
148,tortum,40.2973,41.5477,16.97,86,46,2.88,TR,1720413010
149,concepcion,-36.827,-73.0498,2.89,93,0,1.54,CL,1720413011
150,hammerfest,70.6634,23.6821,11.25,87,40,1.54,NO,1720413013
151,hermanus,-34.4187,19.2345,9.33,68,100,14.75,ZA,1720413014
152,opuwo,-18.0607,13.84,9.92,32,0,1.17,NA,1720413015
153,sitka,57.0531,-135.33,16.94,67,40,4.63,US,1720412722
154,luderitz,-26.6481,15.1594,10.88,74,11,4.04,NA,1720413018
155,vorgashor,67.5833,63.95,17.79,64,100,3.38,RU,1720413019
156,constantia,44.1833,28.65,22.38,46,0,3.82,RO,1720413021
157,cobija,-11.0267,-68.7692,22.64,79,25,0.27,BO,1720413023
158,callao,-12.0667,-77.15,18.57,88,100,3.6,PE,1720413024
159,nabire,-3.3667,135.4833,30.16,64,29,2.21,ID,1720413025
160,amahai,-3.3333,128.9167,26.09,89,60,4.12,ID,1720413026
161,severobaykal'sk,55.65,109.3167,20.57,63,92,1.57,RU,1720413028
162,punta arenas,-53.15,-70.9167,2.06,87,20,5.14,CL,1720413029
163,alesund,62.4723,6.1549,13.52,80,75,4.12,NO,1720413030
164,socorro,31.6546,-106.3033,34.55,18,0,2.57,US,1720413031
165,sao joao da barra,-21.6403,-41.0511,21.12,87,37,3.55,BR,1720413033
166,badger,64.8,-147.5333,13.95,77,100,4.12,US,1720413034
167,qaqortoq,60.7167,-46.0333,5.17,98,100,3.38,GL,1720413035
168,bilibino,68.0546,166.4372,8.21,94,100,1.34,RU,1720413036
169,cidreira,-30.1811,-50.2056,11.2,80,100,5.84,BR,1720413038
170,grootfontein,-19.5667,18.1167,6.7,34,0,4.94,NA,1720413039
171,utrik,11.2278,169.8474,27.9,80,100,7.22,MH,1720413041
172,ipilan,8.8431,117.9033,28.96,75,100,1.96,PH,1720413042
173,zaysan,47.4667,84.8667,29.12,30,87,1.17,KZ,1720413043
174,taoudenni,22.6783,-3.9836,38.09,11,13,10.23,ML,1720413044
175,eldoret,0.5204,35.2699,14.05,94,75,1.54,KE,1720413046
176,borogontsy,62.6683,131.1683,24.3,34,30,3.15,RU,1720413047
177,kristinestad,62.2743,21.376,14.5,82,71,9.07,FI,1720413048
178,flying fish cove,-10.4217,105.6791,26.82,89,100,6.69,CX,1720413050
179,bodo,67.28,14.405,11.08,84,75,6.17,NO,1720413051
180,sodra sandby,56.5667,16.6167,13.83,92,100,2.33,SE,1720413052
181,afaahiti,-17.75,-149.2833,25.93,78,76,7.74,PF,1720413053
182,meulaboh,4.1363,96.1285,30.31,60,98,3.18,ID,1720413055
183,brisas de zicatela,15.8369,-97.0419,26.64,82,93,2.08,MX,1720413057
184,san jeronimito,17.55,-101.3333,25.25,91,81,1.6,MX,1720413058
185,svilengrad,41.7667,26.2,23.51,43,0,2.52,BG,1720413059
186,east london,-33.0153,27.9116,13.52,44,0,4.63,ZA,1720413061
187,calbuco,-41.768,-73.1273,3.56,82,17,3.8,CL,1720413062
188,kodinsk,58.6881,99.1844,25.73,65,37,2.94,RU,1720412986
189,alice springs,-23.7,133.8833,21.75,53,0,2.57,AU,1720413019
190,high river,50.5834,-113.8687,20.44,71,1,2.52,CA,1720413066
191,pihuamo,19.2499,-103.3828,25.6,100,68,0.64,MX,1720413067
192,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.51,GF,1720413068
193,wailua homesteads,22.0669,-159.378,26.44,76,40,5.14,US,1720412986
194,ouddorp,51.8117,3.9347,14.08,85,2,8.23,NL,1720413071
195,zeya,53.75,127.2667,26.57,23,1,4.51,RU,1720413072
196,katsuren-haebaru,26.3369,127.8719,33.43,68,75,5.66,JP,1720413073
197,ratnagiri,16.9833,73.3,27.21,84,100,2.52,IN,1720413074
198,puerto santa,-8.9906,-78.6456,18.08,88,96,4.17,PE,1720413076
199,karratha,-20.7377,116.8463,24.98,25,19,6.72,AU,1720413077
200,curvelo,-18.7564,-44.4308,18.09,61,76,1.35,BR,1720413078
201,n'zeto,-7.2312,12.8666,21.13,84,95,2.85,AO,1720413079
202,el bauga,18.262,33.9081,30.44,44,59,7.75,SD,1720413081
203,mejit,10.2753,170.8646,28.06,79,46,6.98,MH,1720413082
204,brookings,44.3114,-96.7984,17.84,89,0,1.54,US,1720412892
205,kayyerkan,69.3786,87.7439,16.23,46,7,9.35,RU,1720413084
206,puerto baquerizo moreno,-0.9,-89.6,20.96,87,64,3.8,EC,1720413085
207,ouadda,8.0777,22.4007,20.28,86,99,1.45,CF,1720413087
208,tamanrasset,22.785,5.5228,26.95,24,29,0.51,DZ,1720413088
209,turtas,58.9417,69.1325,22.07,43,8,3.59,RU,1720413089
210,roosevelt,33.9668,-103.4505,25.12,53,0,7.61,US,1720413091
